time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1992-12-28T17:57:03.650Z,42.383,43.525,10,4.4,mb,,,,1.1,us,usp0005k00,2014-11-07T00:52:06.050Z,"9 km ENE of Sach’khere, Georgia",earthquake,,,,11,reviewed,us,us
1992-12-11T11:37:39.030Z,42.423,43.53,33,4.2,mb,,,,0.9,us,usp0005j3m,2014-11-07T00:52:01.826Z,"12 km NE of Sach’khere, Georgia",earthquake,,,,15,reviewed,us,us
1992-12-09T20:29:47.190Z,40.058,45.312,15.8,4.8,mb,,,,1.2,us,usp0005j1h,2020-08-29T01:59:22.093Z,"5 km ESE of Madina, Armenia",earthquake,,,,51,reviewed,us,us
1992-12-08T05:34:26.570Z,40.264,45.469,33,4.2,mb,,,,1,us,usp0005hyr,2014-11-07T00:52:00.996Z,"11 km N of Tsovinar, Armenia",earthquake,,,,6,reviewed,us,us
1992-11-06T15:28:46.170Z,37.989,47.757,33,4.1,mb,,,,1.3,us,usp0005gdj,2014-11-07T00:51:49.541Z,northwestern Iran,earthquake,,,,2,reviewed,us,us
1992-11-05T15:42:26.930Z,42.284,44.794,40.4,4.5,mb,,,,1,us,usp0005gbh,2014-11-07T00:51:49.042Z,"11 km SE of Pasanauri, Georgia",earthquake,,7.5,,17,reviewed,us,us
1992-10-24T00:46:53.170Z,42.428,44.865,33,3.5,mb,,,,1.5,us,usp0005fth,2014-11-07T00:51:42.871Z,"16 km ENE of Pasanauri, Georgia",earthquake,,,,3,reviewed,us,us
1992-10-24T00:14:40.260Z,42.485,44.931,33,4.6,mb,,,,1.3,us,usp0005fte,2014-11-07T00:51:42.863Z,"24 km NE of Pasanauri, Georgia",earthquake,,,,11,reviewed,us,us
1992-10-23T23:19:45.200Z,42.589,45.104,16.4,6.4,mw,,,,1,us,usp0005ftd,2022-04-28T18:33:59.208Z,"38 km ESE of St’epants’minda, Georgia",earthquake,,,,,reviewed,us,hrv
1992-09-25T15:53:51.570Z,42.605,45.861,33,3.7,mb,,,,1.1,us,usp0005ege,2014-11-07T00:51:30.745Z,"22 km WNW of Agvali, Russia",earthquake,,,,2,reviewed,us,us
1992-08-21T19:11:07.870Z,42.444,43.26,33,4.5,mb,,,,1.1,us,usp0005cuw,2014-11-07T00:51:17.802Z,"11 km SE of Ambrolauri, Georgia",earthquake,,4.2,,39,reviewed,us,us
1992-08-06T17:53:09.110Z,40.07,48.865,57,4.2,mb,,,,1.3,us,usp0005c2u,2014-11-07T00:51:14.072Z,"5 km SE of Mughan, Azerbaijan",earthquake,,9.8,,4,reviewed,us,us
1992-07-14T18:46:22.730Z,39.178,41.722,10,4.5,mb,,,,1.4,us,usp0005aus,2014-11-07T00:51:04.109Z,"20 km S of H?n?s, Turkey",earthquake,,,,19,reviewed,us,us
1992-07-14T04:26:26.630Z,39.255,41.754,18.1,4.5,mb,,,,1.3,us,usp0005atm,2020-08-29T01:40:55.076Z,"12 km SSE of H?n?s, Turkey",earthquake,,,,33,reviewed,us,us
1992-04-26T13:15:51.340Z,37.841,47.146,33,4,mb,,,,1.3,us,usp00056g3,2014-11-07T00:50:30.327Z,"41 km NNE of Hashtr?d, Iran",earthquake,,,,6,reviewed,us,us
1992-03-27T19:21:04.880Z,42.466,43.725,33,4.8,mb,,,,1.2,us,usp00054xr,2022-04-28T18:53:20.217Z,"18 km WNW of Java, Georgia",earthquake,,,,39,reviewed,us,us
1992-03-26T02:32:49.330Z,42.208,43.554,33,3.6,mb,,,,1.1,us,usp00054uq,2014-11-07T00:50:19.044Z,"18 km SE of Sach’khere, Georgia",earthquake,,,,3,reviewed,us,us
